"Enrollment ID","Provider","Payer","Transaction","Status","Task"
"enr_e76inb","Dr. Alejandro Reyes, MD","Anthem Blue Cross of CA","837P claims","Submitted",""
"enr_3xl4dn","Dr. Alejandro Reyes, MD","Anthem Blue Cross of CA","837P claims","Submitted",""
"enr_zg7wgd","Dr. Alejandro Reyes, MD","Anthem Blue Cross of CA","837P claims","Submitted",""
"enr_s8vv12","Dr. Alejandro Reyes, MD","Anthem Blue Cross of CA","837P claims","Draft",""
"enr_e9gqjo","Dr. Michael Chen, MD","Anthem Blue Cross CA","837P claims","Draft","Complete EDI agreement"
"enr_rveqt3","Dr. Michael Chen, MD","Anthem Blue Cross CA","837P claims","Draft","Complete EDI agreement"
"enr_dn3l6r","Dr. Michael Chen, MD","Anthem Blue Cross CA","837P claims","Draft","Complete EDI agreement"
"enr_4pj4to","Dr. Alejandro Reyes, MD","Anthem Blue Cross CA","837P claims","Draft","Complete EDI agreement"
"enr_36c4a5","Dr. Alejandro Reyes, MD","Anthem Blue Cross CA","837P claims","Draft","Complete EDI agreement"
"enr_0lswt7","Dr. Alejandro Reyes, MD","Anthem Blue Cross CA","270 eligibility","Live",""
"enr_pgqfl6","Dr. Sunita Patel, MD","UnitedHealthcare","835 ERA","Live",""
"enr_jp8lhx","Dr. Michael Chen, MD","Cigna","835 ERA","Live",""
"enr_vnvwt4","Dr. Dana Whitcomb, DO","Medi-Cal","837I claims","Provisioning","EDI agreement signature"
"enr_njk64x","Dr. David Tran, MD","Humana","837P claims","Submitted","Awaiting payer (est. 14 days)"
